,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,SEASON
53,Bojan Bogdanovic,UTA,33,69,45,24,30.9,18.1,6.1,13.4,45.5,2.6,6.8,38.7,3.2,3.8,85.8,0.8,3.4,4.3,1.7,1.7,0.5,0.0,1.7,25.7,3,0,3.2,2022
54,Christian Wood,HOU,26,68,19,49,30.8,17.9,6.5,12.9,50.1,1.9,4.9,39.0,3.0,4.9,62.3,1.6,8.5,10.1,2.3,1.9,0.8,1.0,2.5,36.8,33,0,-6.0,2022
55,Jonas Valanciunas,NOP,30,74,34,40,30.3,17.8,6.9,12.7,54.4,0.8,2.1,36.1,3.2,3.9,82.0,3.1,8.3,11.4,2.6,2.4,0.6,0.8,3.3,37.0,50,0,0.9,2022
56,Nikola Vucevic,CHI,31,73,41,32,33.1,17.6,7.5,15.8,47.3,1.4,4.5,31.4,1.3,1.7,76.0,1.9,9.1,11.0,3.2,1.9,1.0,1.0,2.5,39.6,44,0,-0.7,2022
57,Tyrese Maxey,PHI,21,75,45,30,35.3,17.5,6.4,13.3,48.5,1.8,4.1,42.7,2.8,3.3,86.6,0.3,2.9,3.2,4.3,1.2,0.7,0.4,2.1,30.0,1,0,2.6,2022
58,Cade Cunningham,DET,20,64,20,44,32.6,17.4,6.7,16.1,41.6,1.8,5.7,31.4,2.2,2.6,84.5,0.9,4.6,5.5,5.6,3.7,1.2,0.7,3.1,34.4,10,2,-4.3,2022
59,Anfernee Simons,POR,23,57,25,32,29.5,17.3,6.2,14.0,44.3,3.1,7.8,40.5,1.8,2.0,88.8,0.5,2.2,2.6,3.9,2.0,0.5,0.1,1.9,26.2,2,0,-1.5,2022
60,Jalen Green,HOU,20,67,12,55,31.9,17.3,6.1,14.2,42.6,2.3,6.8,34.3,2.8,3.5,79.7,0.5,2.9,3.4,2.6,2.0,0.7,0.3,1.5,26.0,0,0,-7.7,2022
61,Tobias Harris,PHI,29,73,45,28,34.8,17.2,6.8,14.0,48.2,1.4,3.8,36.7,2.3,2.8,84.2,1.1,5.7,6.8,3.5,1.6,0.6,0.6,2.2,32.7,9,1,2.3,2022
62,Andrew Wiggins,GSW,27,73,47,26,31.9,17.2,6.5,14.0,46.6,2.2,5.5,39.3,2.0,3.2,63.4,1.2,3.3,4.5,2.2,1.5,1.0,0.7,2.2,29.6,1,0,3.6,2022
63,Luguentz Dort,OKC,23,51,17,34,32.7,17.2,5.7,14.2,40.4,2.5,7.7,33.2,3.2,3.7,84.3,0.7,3.4,4.2,1.7,1.7,0.9,0.4,2.9,26.8,0,0,-5.8,2022
64,Deandre Ayton,PHX,23,58,46,12,29.5,17.2,7.6,12.0,63.4,0.1,0.3,36.8,1.8,2.4,74.6,2.6,7.7,10.2,1.4,1.6,0.7,0.7,2.4,34.2,30,0,5.9,2022
65,OG Anunoby,TOR,24,48,31,17,36.0,17.1,6.4,14.5,44.3,2.4,6.6,36.3,1.9,2.5,75.4,1.5,4.0,5.5,2.6,1.7,1.5,0.5,2.7,32.0,3,0,2.8,2022
