,PLAYER,TEAM,AGE,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,HEIGHT,WEIGHT,POSITION
DonteDiVincenzo|2020,DonteDiVincenzo,MIL,23,66,9.2,3.5,7.7,45.5,1.3,3.7,33.6,1.0,1.3,73.3,1.0,3.8,4.8,2.3,1.4,1.3,0.3,1.7,1,0,193.04,203,SG
ObiToppin|2022,ObiToppin,NYK,24,72,9.0,3.5,6.6,53.1,0.7,2.3,30.8,1.3,1.7,75.8,1.0,2.8,3.7,1.1,0.8,0.3,0.5,1.4,3,0,205.74,220,PF
ObiToppin|2021,ObiToppin,NYK,23,62,4.1,1.7,3.4,49.8,0.4,1.4,30.6,0.3,0.4,73.1,0.4,1.8,2.2,0.5,0.4,0.3,0.2,0.9,0,0,205.74,220,PF
BruceBrown|2022,BruceBrown,BKN,25,72,9.0,3.6,7.0,50.6,0.5,1.3,40.4,1.3,1.8,75.8,1.4,3.4,4.8,2.1,0.8,1.1,0.7,2.4,1,0,193.04,202,SF
BruceBrown|2021,BruceBrown,BKN,24,65,8.8,3.6,6.5,55.6,0.3,0.9,28.8,1.3,1.8,73.5,1.7,3.7,5.4,1.6,0.8,0.9,0.4,2.2,6,0,193.04,202,SF
BruceBrown|2020,BruceBrown,DET,23,58,8.9,3.4,7.7,44.3,0.6,1.7,34.4,1.5,2.1,73.9,1.1,3.7,4.7,4.0,1.7,1.1,0.5,2.8,4,0,193.04,202,SF
AmirCoffey|2022,AmirCoffey,LAC,25,69,9.0,3.1,6.8,45.3,1.4,3.7,37.8,1.5,1.7,86.3,0.4,2.5,2.9,1.8,0.7,0.6,0.2,1.3,1,0,200.66,210,SG
AmirCoffey|2021,AmirCoffey,LAC,24,44,3.2,1.0,2.3,43.7,0.5,1.3,41.1,0.6,0.9,71.1,0.2,0.8,1.0,0.5,0.3,0.2,0.0,0.7,0,0,200.66,210,SG
DeMarcusCousins|2022,DeMarcusCousins,DEN,31,48,9.0,3.1,6.8,46.0,0.8,2.5,30.3,2.0,2.6,76.0,1.5,4.1,5.6,1.5,1.8,0.7,0.4,2.9,2,0,208.28,270,C
DeMarcusCousins|2021,DeMarcusCousins,LAC,30,41,8.9,3.2,7.4,42.6,1.1,3.3,34.8,1.4,2.0,72.8,1.3,5.1,6.4,1.9,1.6,0.8,0.6,2.6,7,0,208.28,270,C
MoritzWagner|2022,MoritzWagner,ORL,25,63,9.0,3.1,6.3,49.7,1.0,3.2,32.8,1.7,2.0,80.6,0.7,3.0,3.7,1.4,0.9,0.3,0.2,2.0,3,0,210.82,245,C
MoritzWagner|2021,MoritzWagner,ORL,24,45,6.9,2.3,5.1,45.4,0.7,2.0,34.1,1.6,1.9,81.6,0.6,2.6,3.2,1.1,1.0,0.6,0.4,2.4,1,0,210.82,245,C
MoritzWagner|2020,MoritzWagner,WAS,23,45,8.7,3.2,5.9,54.5,0.6,1.8,31.3,1.7,2.1,82.1,1.2,3.6,4.9,1.2,1.5,0.6,0.4,3.4,2,0,210.82,245,C
ChimezieMetu|2022,ChimezieMetu,SAC,25,60,8.9,3.4,7.5,45.2,1.0,3.1,30.6,1.2,1.5,78.0,0.6,5.0,5.6,1.0,1.0,0.9,0.5,1.6,6,0,205.74,225,C
ChimezieMetu|2021,ChimezieMetu,SAC,24,36,6.3,2.5,5.0,50.8,0.4,1.0,35.1,0.9,1.2,72.1,0.9,2.3,3.1,0.8,0.8,0.4,0.5,1.6,0,0,205.74,225,C
BrynForbes|2022,BrynForbes,DEN,28,75,8.8,3.1,7.2,42.9,1.6,3.9,41.4,1.1,1.2,90.8,0.1,1.1,1.2,1.0,0.7,0.3,0.1,1.3,0,0,187.96,205,SG
BrynForbes|2021,BrynForbes,MIL,27,70,10.0,3.6,7.6,47.3,2.2,4.9,45.2,0.7,0.9,77.0,0.2,1.4,1.6,0.6,0.6,0.3,0.0,1.1,1,0,187.96,205,SG
BrynForbes|2020,BrynForbes,SAS,26,63,11.2,3.8,9.2,41.7,2.3,6.0,38.8,1.2,1.4,83.3,0.2,1.8,2.0,1.7,0.9,0.5,0.0,1.8,0,0,187.96,205,SG
AyoDosunmu|2022,AyoDosunmu,CHI,22,77,8.8,3.6,6.9,52.0,0.9,2.4,37.6,0.7,1.0,67.9,0.4,2.4,2.8,3.3,1.4,0.8,0.4,2.4,4,0,193.04,200,SG
KenyonMartinJr.|2022,KenyonMartinJr.,HOU,21,79,8.8,3.5,6.6,53.3,0.8,2.1,35.7,1.0,1.6,63.4,1.0,2.7,3.8,1.3,0.8,0.4,0.5,1.4,2,0,195.57999999999998,215,SF
KenyonMartinJr.|2021,KenyonMartinJr.,HOU,20,45,9.3,3.6,7.1,50.9,0.8,2.1,36.5,1.3,1.9,71.4,1.6,3.8,5.4,1.1,0.8,0.7,0.9,2.0,4,0,195.57999999999998,215,SF
IsaacOkoro|2022,IsaacOkoro,CLE,21,67,8.8,3.1,6.4,48.0,0.8,2.3,35.0,1.8,2.3,76.8,1.1,1.9,3.0,1.8,0.9,0.8,0.3,2.4,0,0,195.57999999999998,225,SF
IsaacOkoro|2021,IsaacOkoro,CLE,20,67,9.6,3.5,8.3,42.0,0.9,3.2,29.0,1.7,2.3,72.6,1.0,2.1,3.1,1.9,1.3,0.9,0.4,2.8,1,0,195.57999999999998,225,SF
DwightPowell|2022,DwightPowell,DAL,30,82,8.7,3.3,4.9,67.1,0.2,0.5,35.1,2.0,2.6,78.3,2.1,2.8,4.9,1.2,0.8,0.5,0.5,2.7,2,0,208.28,240,C
DwightPowell|2021,DwightPowell,DAL,29,58,5.9,2.1,3.3,61.9,0.1,0.4,23.8,1.7,2.1,78.2,1.4,2.7,4.0,1.1,0.7,0.6,0.5,2.3,1,0,208.28,240,C
DwightPowell|2020,DwightPowell,DAL,28,40,9.4,3.7,5.7,63.8,0.3,1.0,25.6,1.9,2.8,66.7,1.9,3.8,5.7,1.5,0.9,0.9,0.6,2.6,1,0,208.28,240,C
NicClaxton|2022,NicClaxton,BKN,23,47,8.7,3.8,5.6,67.4,0.0,0.0,0.0,1.1,2.0,58.1,1.9,3.7,5.6,0.9,0.8,0.5,1.1,2.3,4,0,210.82,215,C
NicClaxton|2021,NicClaxton,BKN,22,32,6.6,2.8,4.5,62.1,0.0,0.2,20.0,1.0,2.0,48.4,1.3,3.8,5.2,0.9,0.6,0.7,1.3,2.1,1,0,210.82,215,C
GabeVincent|2022,GabeVincent,MIA,26,68,8.7,3.1,7.5,41.7,1.8,4.8,36.8,0.6,0.8,81.5,0.3,1.5,1.9,3.1,1.4,0.9,0.2,2.3,0,0,190.5,200,PG
GabeVincent|2021,GabeVincent,MIA,25,50,4.8,1.8,4.7,37.8,0.9,3.0,30.9,0.4,0.5,87.0,0.2,0.9,1.1,1.3,0.7,0.4,0.0,1.6,1,0,190.5,200,PG
TyusJones|2022,TyusJones,MEM,26,73,8.7,3.4,7.6,45.1,1.1,2.8,39.0,0.7,0.9,81.8,0.2,2.2,2.4,4.4,0.6,0.9,0.0,0.4,2,0,182.88,196,PG
TyusJones|2021,TyusJones,MEM,25,70,6.3,2.5,5.9,43.1,0.6,2.0,32.1,0.6,0.6,91.1,0.3,1.7,2.0,3.7,0.7,0.9,0.1,0.4,2,0,182.88,196,PG
TyusJones|2020,TyusJones,MEM,24,65,7.4,3.0,6.6,45.9,0.7,1.9,37.9,0.7,0.9,74.1,0.1,1.4,1.6,4.4,0.8,0.9,0.1,0.7,0,0,182.88,196,PG
ChumaOkeke|2022,ChumaOkeke,ORL,23,70,8.6,3.1,8.2,37.6,1.7,5.3,31.8,0.8,0.9,84.6,0.7,4.3,5.0,1.7,0.8,1.4,0.6,1.4,3,0,198.12,229,PF
ChumaOkeke|2021,ChumaOkeke,ORL,22,45,7.8,3.0,7.2,41.7,1.1,3.1,34.8,0.7,0.9,75.0,0.9,3.1,4.0,2.2,0.8,1.1,0.5,1.1,0,0,198.12,229,PF
ReggieBullock|2022,ReggieBullock,DAL,31,68,8.6,3.0,7.4,40.1,2.1,5.8,36.0,0.6,0.7,83.3,0.5,3.1,3.5,1.2,0.6,0.6,0.2,1.6,0,0,198.12,205,SF
ReggieBullock|2021,ReggieBullock,NYK,30,65,10.9,3.8,8.6,44.2,2.5,6.1,41.0,0.8,0.8,90.9,0.2,3.2,3.4,1.5,0.7,0.8,0.2,2.2,0,0,198.12,205,SF
CamThomas|2022,CamThomas,BKN,20,67,8.5,3.3,7.5,43.3,0.7,2.6,27.0,1.3,1.6,82.9,0.2,2.2,2.4,1.2,0.8,0.5,0.1,1.0,0,0,190.5,210,SG
RobertCovington|2022,RobertCovington,LAC,31,71,8.5,2.9,7.0,42.0,1.8,4.8,37.8,0.8,1.0,84.1,0.8,4.7,5.5,1.3,1.1,1.5,1.3,2.7,1,0,200.66,209,PF
RobertCovington|2021,RobertCovington,POR,30,70,8.5,2.9,7.3,40.1,1.9,5.1,37.9,0.7,0.9,80.6,0.9,5.8,6.7,1.7,0.9,1.4,1.2,2.8,6,0,200.66,209,PF
RobertCovington|2020,RobertCovington,HOU,29,70,12.4,4.4,10.3,42.2,2.3,6.9,33.5,1.4,1.8,79.8,0.9,5.7,6.6,1.3,1.5,1.6,1.3,3.1,7,0,200.66,209,PF
JaylenNowell|2022,JaylenNowell,MIN,22,62,8.5,3.2,6.7,47.5,1.0,2.6,39.4,1.2,1.5,78.3,0.4,1.6,2.0,2.1,0.6,0.4,0.2,1.2,0,0,193.04,201,SG
JaylenNowell|2021,JaylenNowell,MIN,21,42,9.0,3.4,8.0,42.4,1.2,3.6,33.3,1.1,1.3,81.8,0.5,1.8,2.3,1.5,0.7,0.5,0.3,1.7,0,0,193.04,201,SG
MitchellRobinson|2022,MitchellRobinson,NYK,24,72,8.5,3.6,4.8,76.1,0.0,0.0,0.0,1.2,2.5,48.6,4.1,4.5,8.6,0.5,0.8,0.8,1.8,2.7,20,0,213.36,240,C
MitchellRobinson|2021,MitchellRobinson,NYK,23,31,8.3,3.7,5.7,65.3,0.0,0.0,0.0,0.8,1.7,49.1,3.6,4.5,8.1,0.5,0.8,1.1,1.5,2.8,5,0,213.36,240,C
MitchellRobinson|2020,MitchellRobinson,NYK,22,61,9.7,4.1,5.6,74.2,0.0,0.0,0.0,1.4,2.4,56.8,3.0,4.0,7.0,0.6,0.6,0.9,2.0,3.2,8,0,213.36,240,C
DeniAvdija|2022,DeniAvdija,WAS,21,82,8.4,3.0,7.1,43.2,1.0,3.2,31.7,1.3,1.7,75.7,0.6,4.5,5.2,2.0,1.1,0.7,0.5,2.3,3,0,205.74,210,SF
DeniAvdija|2021,DeniAvdija,WAS,20,54,6.3,2.4,5.8,41.7,1.0,3.1,31.5,0.5,0.8,64.4,0.4,4.4,4.9,1.2,0.6,0.6,0.3,2.6,2,0,205.74,210,SF
LanceStephenson|2022,LanceStephenson,IND,31,46,8.3,3.2,7.0,45.5,0.6,2.0,30.0,1.4,1.7,78.8,0.3,2.5,2.8,3.6,1.6,0.5,0.1,2.1,3,0,195.57999999999998,210,SG
NicolasBatum|2022,NicolasBatum,LAC,33,59,8.3,3.0,6.6,46.3,1.8,4.6,40.0,0.4,0.6,65.8,0.5,3.8,4.3,1.7,0.7,1.0,0.7,1.4,0,0,203.2,230,PF
NicolasBatum|2021,NicolasBatum,LAC,32,67,8.1,2.9,6.1,46.4,1.6,4.1,40.4,0.7,0.9,82.8,0.7,4.0,4.7,2.2,0.8,1.0,0.6,1.5,1,0,203.2,230,PF
AaronWiggins|2022,AaronWiggins,OKC,23,50,8.3,3.1,6.7,46.3,0.8,2.8,30.4,1.2,1.7,72.9,1.0,2.5,3.6,1.4,1.1,0.6,0.2,1.9,0,0,193.04,190,SG
LandryShamet|2022,LandryShamet,PHX,25,69,8.3,2.8,7.0,39.4,1.8,4.8,36.8,1.0,1.2,84.0,0.2,1.6,1.8,1.6,0.6,0.4,0.1,1.3,0,0,193.04,190,SG
LandryShamet|2021,LandryShamet,BKN,24,61,9.3,3.0,7.5,40.8,2.1,5.5,38.7,1.1,1.3,84.6,0.2,1.7,1.8,1.6,0.8,0.5,0.2,1.5,0,0,193.04,190,SG
LandryShamet|2020,LandryShamet,LAC,23,53,9.3,3.0,7.4,40.4,2.1,5.6,37.5,1.2,1.4,85.5,0.1,1.8,1.9,1.9,0.8,0.4,0.2,2.7,0,0,193.04,190,SG
IsaiahStewart|2022,IsaiahStewart,DET,21,71,8.3,3.5,6.9,51.0,0.2,0.6,32.6,1.0,1.5,71.8,3.2,5.5,8.7,1.2,1.2,0.3,1.1,3.0,12,0,203.2,250,C
IsaiahStewart|2021,IsaiahStewart,DET,20,68,7.9,3.3,6.0,55.3,0.3,0.9,33.3,0.9,1.4,69.6,2.3,4.3,6.7,0.9,1.0,0.6,1.3,2.7,8,0,203.2,250,C
IsaiahHartenstein|2022,IsaiahHartenstein,LAC,24,68,8.3,3.4,5.4,62.6,0.2,0.4,46.7,1.3,1.9,68.9,1.7,3.2,4.9,2.4,1.2,0.7,1.1,2.5,2,0,213.36,250,C
IsaiahHartenstein|2021,IsaiahHartenstein,CLE,23,46,5.1,2.0,3.7,55.0,0.0,0.1,33.3,1.0,1.5,64.8,1.4,2.5,3.9,1.2,1.0,0.4,0.8,2.3,1,0,213.36,250,C
NazReid|2022,NazReid,MIN,22,77,8.3,3.0,6.2,48.9,0.7,2.2,34.3,1.5,1.9,76.5,1.3,2.6,3.9,0.9,1.1,0.5,0.9,2.2,4,0,205.74,264,C
NazReid|2021,NazReid,MIN,21,70,11.2,4.3,8.3,52.3,0.9,2.5,35.1,1.6,2.4,69.3,1.2,3.4,4.6,1.0,1.0,0.5,1.1,2.6,1,0,205.74,264,C
NazReid|2020,NazReid,MIN,20,30,9.0,3.3,8.1,41.2,1.1,3.2,33.0,1.2,1.8,69.8,1.1,3.0,4.1,1.2,0.7,0.6,0.7,2.8,2,0,205.74,264,C
IsaiahJackson|2022,IsaiahJackson,IND,20,36,8.3,3.2,5.7,56.3,0.1,0.4,31.3,1.7,2.4,68.2,1.7,2.5,4.1,0.3,1.1,0.7,1.4,2.6,3,0,208.28,205,PF
CoreyKispert|2022,CoreyKispert,WAS,23,77,8.2,3.0,6.7,45.5,1.5,4.2,35.0,0.7,0.8,87.1,0.7,2.0,2.7,1.1,0.6,0.5,0.3,1.2,0,0,198.12,224,SF
HassanWhiteside|2022,HassanWhiteside,UTA,33,65,8.2,3.3,5.1,65.2,0.0,0.0,0.0,1.6,2.6,62.3,2.6,5.0,7.6,0.4,0.8,0.3,1.6,2.8,14,0,213.36,265,C
HassanWhiteside|2021,HassanWhiteside,SAC,32,36,8.1,3.5,6.2,56.3,0.0,0.0,0.0,1.1,2.2,51.9,1.7,4.3,6.0,0.6,1.1,0.3,1.3,2.0,4,0,213.36,265,C
HassanWhiteside|2020,HassanWhiteside,POR,31,67,15.5,6.5,10.5,62.1,0.1,0.1,57.1,2.4,3.6,68.6,3.9,9.7,13.5,1.2,1.8,0.4,2.9,2.9,51,0,213.36,265,C
ShakeMilton|2022,ShakeMilton,PHI,25,55,8.2,3.1,7.3,42.9,0.8,2.4,32.3,1.1,1.3,83.6,0.5,2.0,2.6,2.5,0.8,0.5,0.3,1.8,0,0,195.57999999999998,205,PG
ShakeMilton|2021,ShakeMilton,PHI,24,63,13.0,4.8,10.6,45.0,1.1,3.2,35.0,2.3,2.8,83.0,0.5,1.8,2.3,3.1,1.6,0.6,0.3,2.1,0,0,195.57999999999998,205,PG
ShakeMilton|2020,ShakeMilton,PHI,23,40,9.4,3.4,6.9,48.4,1.5,3.4,43.0,1.3,1.6,78.5,0.4,1.8,2.2,2.6,1.2,0.5,0.2,2.3,0,0,195.57999999999998,205,PG
OttoPorterJr.|2022,OttoPorterJr.,GSW,29,63,8.2,3.1,6.6,46.4,1.3,3.4,37.0,0.8,1.0,80.3,1.4,4.4,5.7,1.5,0.6,1.1,0.5,1.3,5,0,203.2,198,PF
DanielTheis|2022,DanielTheis,BOS,30,47,8.2,3.2,6.2,51.9,0.7,2.3,30.8,1.0,1.5,68.1,1.3,3.6,4.9,0.9,1.0,0.4,0.7,2.4,3,0,205.74,245,C
DanielTheis|2021,DanielTheis,CHI,29,65,9.6,3.9,7.2,54.1,0.8,2.3,32.2,1.1,1.7,67.3,1.4,4.0,5.5,1.7,1.0,0.6,0.9,2.6,6,0,205.74,245,C
DanielTheis|2020,DanielTheis,BOS,28,65,9.2,3.7,6.6,56.6,0.5,1.5,33.3,1.3,1.8,76.3,2.2,4.4,6.6,1.7,0.8,0.6,1.3,3.4,7,0,205.74,245,C
OnyekaOkongwu|2022,OnyekaOkongwu,ATL,21,48,8.2,3.3,4.7,69.0,0.0,0.0,0.0,1.7,2.3,72.7,2.4,3.5,5.9,1.1,0.9,0.6,1.3,3.1,1,0,203.2,240,C
OnyekaOkongwu|2021,OnyekaOkongwu,ATL,20,50,4.6,1.9,3.0,64.4,0.0,0.1,0.0,0.7,1.1,63.2,1.2,2.0,3.3,0.4,0.6,0.5,0.7,2.0,2,0,203.2,240,C
RudyGay|2022,RudyGay,UTA,35,55,8.1,2.9,6.9,41.4,1.3,3.7,34.5,1.1,1.4,78.5,1.0,3.4,4.4,1.0,0.9,0.5,0.3,1.7,0,0,203.2,250,PF
RudyGay|2021,RudyGay,SAS,34,63,11.4,4.2,10.0,42.0,1.7,4.4,38.1,1.3,1.6,80.4,0.7,4.1,4.8,1.4,1.0,0.7,0.6,1.8,1,0,203.2,250,PF
RudyGay|2020,RudyGay,SAS,33,67,10.8,4.0,8.9,44.6,1.1,3.3,33.6,1.8,2.0,88.2,0.9,4.5,5.4,1.7,1.3,0.5,0.5,1.5,4,0,203.2,250,PF
DamianJones|2022,DamianJones,SAC,27,56,8.1,3.1,4.8,65.8,0.2,0.5,34.5,1.7,2.3,71.8,1.3,3.1,4.4,1.2,1.1,0.5,0.8,2.3,2,0,210.82,245,C
DamianJones|2021,DamianJones,SAC,26,39,4.7,1.8,2.6,68.0,0.0,0.1,20.0,1.1,1.5,72.4,0.9,2.2,3.1,0.7,0.7,0.3,0.7,2.0,1,0,210.82,245,C
DamianJones|2020,DamianJones,ATL,25,55,5.6,2.2,3.2,68.0,0.0,0.2,22.2,1.1,1.5,73.8,1.3,2.4,3.7,0.6,0.5,0.5,0.7,2.7,0,0,210.82,245,C
ZiaireWilliams|2022,ZiaireWilliams,MEM,20,62,8.1,3.1,6.8,45.0,1.2,3.9,31.4,0.7,0.9,78.2,0.4,1.7,2.1,1.0,0.7,0.6,0.2,1.8,0,0,205.74,185,SF
CoryJoseph|2022,CoryJoseph,DET,30,65,8.0,2.7,6.2,44.5,1.0,2.4,41.4,1.5,1.7,88.5,0.4,2.2,2.7,3.6,1.3,0.6,0.3,2.3,0,0,190.5,200,PG
CoryJoseph|2021,CoryJoseph,DET,29,63,8.2,3.2,6.8,46.9,0.7,2.1,34.1,1.1,1.4,81.8,0.6,2.0,2.5,3.4,1.3,1.0,0.3,2.2,2,0,190.5,200,PG
CoryJoseph|2020,CoryJoseph,SAC,28,72,6.4,2.4,5.7,41.5,0.8,2.2,35.2,0.8,1.0,85.7,0.6,2.0,2.6,3.5,1.1,0.7,0.3,1.8,0,0,190.5,200,PG
MikeMuscala|2022,MikeMuscala,OKC,30,43,8.0,2.6,5.8,45.6,1.6,3.8,42.9,1.1,1.3,84.2,0.5,2.5,3.0,0.5,0.3,0.4,0.6,1.3,0,0,208.28,240,C
MikeMuscala|2021,MikeMuscala,OKC,29,35,9.7,3.4,7.6,44.6,1.9,5.3,37.0,0.9,1.0,91.7,0.5,3.2,3.8,0.8,0.6,0.2,0.3,1.5,0,0,208.28,240,C
MikeMuscala|2020,MikeMuscala,OKC,28,47,4.8,1.6,4.0,40.7,1.1,3.0,37.8,0.4,0.5,81.8,0.3,2.0,2.3,0.9,0.4,0.2,0.3,1.2,0,0,208.28,240,C
AndreDrummond|2022,AndreDrummond,BKN,28,73,7.9,3.4,5.9,57.0,0.0,0.0,0.0,1.2,2.2,52.4,3.1,6.2,9.3,1.8,1.6,1.1,0.9,2.6,18,0,208.28,279,C
AndreDrummond|2021,AndreDrummond,LAL,27,46,14.9,6.1,12.4,49.3,0.0,0.2,0.0,2.7,4.5,60.0,3.6,8.4,12.0,2.0,2.7,1.4,1.1,3.2,28,0,208.28,279,C
AndreDrummond|2020,AndreDrummond,CLE,26,57,17.7,7.3,13.8,53.3,0.1,0.6,14.3,3.0,5.2,57.5,4.4,10.8,15.2,2.7,3.6,1.9,1.6,3.5,47,0,208.28,279,C
JoshChristopher|2022,JoshChristopher,HOU,20,74,7.9,3.0,6.8,44.8,0.8,2.6,29.6,1.1,1.5,73.5,0.7,1.8,2.5,2.0,1.5,0.9,0.2,1.3,0,0,190.5,215,SG
JordanNwora|2022,JordanNwora,MIL,23,62,7.9,3.0,7.5,40.3,1.3,3.7,34.8,0.6,0.7,83.7,0.6,3.0,3.6,1.0,0.9,0.4,0.3,1.3,3,0,203.2,225,SF
JordanNwora|2021,JordanNwora,MIL,22,30,5.7,2.1,4.5,45.9,0.9,2.1,45.2,0.6,0.8,76.0,0.3,1.7,2.0,0.2,0.8,0.6,0.3,0.7,2,0,203.2,225,SF
GrantWilliams|2022,GrantWilliams,BOS,23,77,7.8,2.7,5.6,47.5,1.4,3.4,41.1,1.1,1.2,90.5,0.8,2.7,3.6,1.0,0.8,0.5,0.7,2.4,1,0,198.12,236,PF
GrantWilliams|2021,GrantWilliams,BOS,22,63,4.7,1.7,3.9,43.7,0.8,2.0,37.2,0.5,0.8,58.8,0.8,2.1,2.8,1.0,0.9,0.5,0.4,2.6,0,0,198.12,236,PF
GrantWilliams|2020,GrantWilliams,BOS,21,69,3.4,1.3,3.1,41.2,0.3,1.4,25.0,0.6,0.8,72.2,0.9,1.7,2.6,1.0,0.7,0.4,0.5,2.4,0,0,198.12,236,PF
DrewEubanks|2022,DrewEubanks,POR,25,71,7.7,3.1,5.2,59.6,0.1,0.3,21.7,1.4,1.8,76.2,1.8,3.5,5.4,1.2,1.1,0.4,0.6,1.7,7,0,205.74,245,C
DrewEubanks|2021,DrewEubanks,SAS,24,54,5.8,2.1,3.8,56.6,0.0,0.0,100.0,1.4,2.0,72.6,1.4,3.1,4.5,0.8,0.8,0.3,0.9,1.6,3,0,205.74,245,C
CodyMartin|2022,CodyMartin,CHA,26,71,7.7,2.9,6.0,48.2,0.9,2.2,38.4,1.1,1.5,70.1,1.2,2.9,4.0,2.5,0.9,1.2,0.5,1.6,0,0,198.12,205,SF
CodyMartin|2021,CodyMartin,CHA,25,52,4.0,1.6,3.6,44.1,0.3,1.1,27.6,0.5,0.8,58.1,1.0,2.1,3.1,1.7,0.8,0.7,0.2,1.0,1,0,198.12,205,SF
CodyMartin|2020,CodyMartin,CHA,24,48,5.0,1.9,4.3,43.0,0.4,1.6,23.4,0.9,1.4,64.6,0.8,2.5,3.3,2.0,0.9,0.8,0.2,1.6,0,0,198.12,205,SF
R.J.Hampton|2022,R.J.Hampton,ORL,21,64,7.6,2.7,7.1,38.3,1.0,2.9,35.0,1.2,1.8,64.1,0.4,2.7,3.0,2.5,1.4,0.7,0.2,1.6,0,0,193.04,175,SG
R.J.Hampton|2021,R.J.Hampton,ORL,20,51,6.9,2.7,6.1,43.5,0.5,1.7,31.0,1.1,1.6,67.1,0.6,2.9,3.5,1.7,1.0,0.4,0.2,1.2,3,0,193.04,175,SG
AleksejPokusevski|2022,AleksejPokusevski,OKC,20,61,7.6,3.0,7.5,40.8,0.9,3.2,28.9,0.6,0.8,70.0,1.2,4.0,5.2,2.1,1.5,0.6,0.6,1.4,5,1,213.36,190,PF
AleksejPokusevski|2021,AleksejPokusevski,OKC,19,45,8.2,3.1,9.1,34.1,1.3,4.6,28.0,0.7,0.9,73.8,0.7,4.0,4.7,2.2,2.2,0.4,0.9,1.3,1,0,213.36,190,PF
FurkanKorkmaz|2022,FurkanKorkmaz,PHI,24,67,7.6,2.7,7.0,38.7,1.1,4.0,28.9,1.0,1.3,81.0,0.3,2.3,2.6,1.9,0.7,0.5,0.1,0.9,1,0,200.66,202,SG
FurkanKorkmaz|2021,FurkanKorkmaz,PHI,23,55,9.1,3.1,7.7,40.1,1.8,4.9,37.5,1.1,1.5,73.2,0.3,1.7,2.1,1.5,0.8,0.9,0.2,1.2,0,0,200.66,202,SG
FurkanKorkmaz|2020,FurkanKorkmaz,PHI,22,72,9.8,3.4,7.8,43.0,2.0,4.9,40.2,1.1,1.4,75.5,0.3,2.1,2.3,1.1,0.8,0.6,0.2,1.4,0,0,200.66,202,SG
P.J.Tucker|2022,P.J.Tucker,MIA,37,71,7.6,2.9,6.0,48.4,1.1,2.7,41.5,0.6,0.9,73.8,1.4,4.0,5.5,2.1,0.9,0.8,0.2,2.3,5,0,195.57999999999998,245,PF
P.J.Tucker|2021,P.J.Tucker,MIL,36,52,3.7,1.3,3.4,37.3,0.8,2.3,33.6,0.4,0.5,75.0,1.0,2.9,3.9,1.2,0.8,0.8,0.4,2.4,0,0,195.57999999999998,245,PF
P.J.Tucker|2020,P.J.Tucker,HOU,35,72,6.9,2.5,5.9,41.5,1.5,4.2,35.8,0.5,0.7,81.3,1.6,5.1,6.6,1.6,1.0,1.1,0.5,3.2,6,0,195.57999999999998,245,PF
TrendonWatford|2022,TrendonWatford,POR,21,48,7.6,3.0,5.6,53.2,0.2,0.8,23.7,1.5,2.0,75.5,1.2,3.0,4.1,1.7,0.9,0.5,0.6,2.4,2,0,203.2,237,SF
KyleAnderson|2022,KyleAnderson,MEM,28,69,7.6,3.0,6.8,44.6,0.5,1.6,33.0,1.0,1.5,63.8,1.0,4.3,5.3,2.7,1.0,1.1,0.7,1.6,2,0,205.74,230,PF
KyleAnderson|2021,KyleAnderson,MEM,27,69,12.4,4.5,9.5,46.8,1.4,3.8,36.0,2.1,2.7,78.3,0.8,5.0,5.7,3.6,1.2,1.2,0.8,1.7,3,0,205.74,230,PF
KyleAnderson|2020,KyleAnderson,MEM,26,67,5.8,2.3,4.9,47.4,0.4,1.3,28.2,0.8,1.2,66.7,0.9,3.4,4.3,2.4,1.0,0.8,0.6,1.7,0,0,205.74,230,PF
DraymondGreen|2022,DraymondGreen,GSW,32,46,7.5,2.9,5.6,52.5,0.3,1.2,29.6,1.3,2.0,65.9,1.0,6.3,7.3,7.0,3.0,1.3,1.1,3.0,4,1,198.12,230,PF
DraymondGreen|2021,DraymondGreen,GSW,31,63,7.0,2.7,6.0,44.7,0.5,2.0,27.0,1.1,1.4,79.5,0.9,6.2,7.1,8.9,3.0,1.7,0.8,3.1,17,6,198.12,230,PF
DraymondGreen|2020,DraymondGreen,GSW,30,43,8.0,2.9,7.3,38.9,0.8,3.0,27.9,1.5,1.9,75.9,0.5,5.7,6.2,6.2,2.3,1.4,0.8,2.6,8,2,198.12,230,PF
RaulNeto|2022,RaulNeto,WAS,30,70,7.5,2.9,6.3,46.3,0.5,1.7,29.2,1.2,1.5,76.9,0.2,1.7,1.9,3.1,1.1,0.8,0.0,1.5,0,0,187.96,180,PG
RaulNeto|2021,RaulNeto,WAS,29,64,8.7,3.3,7.0,46.8,1.0,2.6,39.0,1.2,1.3,88.2,0.4,2.0,2.4,2.3,0.8,1.1,0.1,1.7,0,0,187.96,180,PG
RaulNeto|2020,RaulNeto,PHI,28,54,5.1,1.9,4.1,45.5,0.6,1.6,38.6,0.7,0.9,83.0,0.2,0.9,1.1,1.8,0.9,0.4,0.1,0.9,0,0,187.96,180,PG
