,PLAYER,TEAM,AGE,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,HEIGHT,WEIGHT,POSITION
RichaunHolmes|2021,RichaunHolmes,SAC,27,61,14.2,6.0,9.4,63.7,0.0,0.2,18.2,2.2,2.8,79.4,2.4,5.9,8.3,1.7,1.2,0.6,1.6,3.5,21,0,208.28,235,C
RichaunHolmes|2020,RichaunHolmes,SAC,26,44,12.3,5.1,7.8,64.8,0.0,0.0,0.0,2.1,2.7,78.8,2.9,5.3,8.1,1.0,1.2,0.9,1.3,3.8,13,0,208.28,235,C
TerenceDavis|2022,TerenceDavis,SAC,25,30,10.4,3.8,8.9,42.3,1.6,5.0,32.9,1.2,1.5,81.8,0.4,2.8,3.1,1.3,1.1,0.8,0.4,2.3,0,0,193.04,201,SG
TerenceDavis|2021,TerenceDavis,SAC,24,61,8.7,3.2,7.5,42.8,1.6,4.4,36.7,0.7,0.9,81.8,0.3,2.2,2.5,1.4,1.0,0.7,0.2,1.6,0,0,193.04,201,SG
TerenceDavis|2020,TerenceDavis,TOR,23,72,7.5,2.8,6.1,45.6,1.3,3.4,38.8,0.7,0.8,86.4,0.7,2.6,3.3,1.6,1.1,0.5,0.2,1.7,1,0,193.04,201,SG
IvicaZubac|2022,IvicaZubac,LAC,25,76,10.3,4.1,6.5,62.6,0.0,0.0,0.0,2.2,3.0,72.7,2.9,5.6,8.5,1.6,1.5,0.5,1.0,2.7,25,0,213.36,240,C
IvicaZubac|2021,IvicaZubac,LAC,24,72,9.0,3.6,5.5,65.2,0.0,0.1,25.0,1.9,2.4,78.9,2.6,4.6,7.2,1.3,1.1,0.3,0.9,2.6,13,0,213.36,240,C
IvicaZubac|2020,IvicaZubac,LAC,23,72,8.3,3.3,5.3,61.3,0.0,0.0,0.0,1.7,2.3,74.7,2.7,4.8,7.5,1.1,0.8,0.2,0.9,2.3,10,0,213.36,240,C
JeffGreen|2022,JeffGreen,DEN,35,75,10.3,3.7,7.1,52.4,0.7,2.2,31.5,2.2,2.6,83.3,0.5,2.5,3.1,1.3,0.9,0.4,0.4,2.0,1,0,203.2,235,C
JeffGreen|2021,JeffGreen,BKN,34,68,11.0,3.8,7.8,49.2,1.5,3.7,41.2,1.8,2.4,77.6,0.5,3.4,3.9,1.6,0.8,0.5,0.4,1.8,0,0,203.2,235,C
JeffGreen|2020,JeffGreen,HOU,33,48,9.4,3.3,7.2,46.2,1.3,3.8,33.9,1.5,1.9,80.2,0.5,2.3,2.8,1.0,0.9,0.5,0.4,1.9,0,0,203.2,235,C
P.J.Washington|2022,P.J.Washington,CHA,23,65,10.3,3.8,8.2,47.0,1.7,4.6,36.5,0.9,1.2,71.6,1.3,3.9,5.2,2.3,1.3,0.9,0.9,2.3,3,0,200.66,230,PF
P.J.Washington|2021,P.J.Washington,CHA,22,64,12.9,4.7,10.7,44.0,1.8,4.5,38.6,1.7,2.3,74.5,1.5,5.1,6.5,2.5,2.0,1.1,1.2,2.7,10,0,200.66,230,PF
P.J.Washington|2020,P.J.Washington,CHA,21,58,12.2,4.6,10.2,45.5,1.5,4.0,37.4,1.5,2.3,64.7,1.0,4.4,5.4,2.1,1.6,0.9,0.8,2.7,4,0,200.66,230,PF
JoshRichardson|2022,JoshRichardson,SAS,28,65,10.2,3.6,8.2,43.8,1.6,3.8,41.5,1.5,1.7,88.9,0.6,2.2,2.8,1.8,1.0,0.9,0.4,1.8,0,0,195.57999999999998,200,SG
JoshRichardson|2021,JoshRichardson,DAL,27,59,12.1,4.5,10.5,42.7,1.5,4.5,33.0,1.7,1.8,91.7,0.9,2.4,3.3,2.6,1.3,1.0,0.4,2.2,0,0,195.57999999999998,200,SG
JoshRichardson|2020,JoshRichardson,PHI,26,55,13.7,5.1,11.7,43.0,1.5,4.5,34.1,2.1,2.6,80.9,0.7,2.4,3.2,2.9,1.9,0.9,0.7,2.5,0,0,195.57999999999998,200,SG
BenMcLemore|2022,BenMcLemore,POR,29,64,10.2,3.4,8.4,40.1,2.4,6.5,36.2,1.1,1.4,81.8,0.2,1.4,1.6,0.9,0.9,0.6,0.2,1.6,0,0,190.5,195,SG
