,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,SEASON
97,Danny Green,LAL,33,68,51,17,46.6,15.1,5.4,13.1,41.6,3.3,9.0,36.7,0.9,1.3,68.8,1.4,4.8,6.2,2.5,1.7,2.3,0.9,3.8,34.3,0,0,7.1,2020
98,Dante Exum,CLE,24,35,10,25,47.9,15.7,5.5,11.7,47.1,1.5,4.2,34.9,3.2,4.2,74.4,1.2,5.4,6.6,3.9,3.1,1.3,0.8,3.7,32.7,0,0,-10.7,2020
99,Danuel House Jr.,HOU,27,63,40,23,45.9,15.9,5.5,12.9,42.7,3.1,8.5,36.3,1.8,2.2,81.1,1.4,5.0,6.4,2.0,1.3,1.6,0.8,3.2,32.6,2,0,3.0,2020
100,Dario Saric,PHX,26,66,32,34,46.9,20.3,7.4,15.5,47.6,2.4,6.8,35.7,3.1,3.7,84.4,2.9,8.8,11.7,3.5,2.5,1.1,0.5,4.5,41.6,9,0,-2.0,2020
101,Darius Bazley,OKC,20,61,36,25,47.1,14.3,5.2,13.2,39.4,2.0,5.9,34.8,1.8,2.6,69.4,1.3,9.0,10.3,1.7,1.9,1.0,1.7,2.3,35.3,1,0,-3.3,2020
102,Darius Garland,CLE,20,59,17,42,47.6,19.0,7.3,18.3,40.1,2.7,7.7,35.5,1.6,1.9,87.5,0.7,2.2,2.9,6.0,3.9,1.1,0.1,2.4,31.1,1,0,-7.7,2020
103,Daryl Macon,MIA,24,4,4,0,50.4,10.7,3.6,10.7,33.3,3.6,7.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,7.1,0.0,0.0,3.6,8.9,0,0,0.0,2020
104,David Nwaba,HOU,27,20,8,12,46.1,17.9,6.4,12.2,52.1,2.1,4.8,42.9,3.1,4.6,66.7,1.4,6.4,7.7,1.4,1.4,1.9,2.1,5.5,39.7,0,0,6.0,2020
105,Davis Bertans,WAS,27,54,20,34,45.3,23.9,7.6,17.5,43.4,5.7,13.5,42.4,3.0,3.5,85.2,1.0,6.0,7.0,2.6,1.7,1.1,0.9,4.0,40.6,1,0,-0.4,2020
106,De'Aaron Fox,SAC,22,51,20,31,46.9,30.9,11.2,23.4,48.0,1.5,5.3,29.2,6.9,9.8,70.5,1.0,4.6,5.6,10.0,4.5,2.1,0.7,4.2,56.6,9,0,-3.5,2020
107,De'Andre Hunter,ATL,22,63,19,44,46.3,17.8,6.4,15.7,41.0,2.5,7.0,35.5,2.5,3.3,76.4,1.0,5.5,6.6,2.6,2.4,1.0,0.4,4.2,31.5,3,0,-6.0,2020
108,De'Anthony Melton,MEM,22,60,27,33,45.5,17.7,6.3,15.6,40.1,1.6,5.5,28.6,3.6,4.7,76.9,1.7,6.9,8.6,6.8,3.3,3.0,0.8,4.2,46.3,0,0,4.6,2020
109,DeAndre Jordan,BKN,31,56,27,29,46.6,17.5,7.2,10.8,66.6,0.0,0.0,0.0,3.1,4.6,68.0,5.3,15.8,21.2,4.0,2.8,0.7,2.0,4.3,54.0,13,0,-1.5,2020
110,DeAndre' Bembry,ATL,25,43,10,33,45.6,12.4,5.2,11.4,45.6,0.7,3.2,23.1,1.3,2.4,54.2,1.7,5.9,7.6,4.0,3.0,2.7,0.9,4.2,35.6,2,0,-12.8,2020
111,DeMar DeRozan,SAS,30,68,31,37,47.7,31.0,11.5,21.6,53.1,0.2,0.7,25.7,7.8,9.3,84.5,0.9,6.8,7.7,7.8,3.4,1.4,0.4,3.7,54.2,7,0,-2.4,2020
112,DeMarre Carroll,HOU,33,24,10,14,45.9,13.8,4.0,10.4,37.9,1.3,5.2,24.2,4.6,6.6,69.0,1.9,6.8,8.7,4.0,2.7,1.3,0.8,5.1,33.6,0,0,-0.5,2020
113,Dean Wade,CLE,23,12,1,11,45.5,12.7,5.7,8.3,69.2,1.3,2.5,50.0,0.0,0.6,0.0,1.9,10.2,12.1,1.3,1.9,1.3,2.5,5.1,38.7,0,0,-5.7,2020
114,Deandre Ayton,PHX,21,38,20,18,47.1,26.3,11.8,21.7,54.6,0.1,0.5,23.1,2.6,3.4,75.3,5.6,11.0,16.6,2.7,3.0,1.0,2.2,4.5,56.9,23,0,3.7,2020
115,Dejounte Murray,SAS,23,66,29,37,47.4,20.2,8.3,17.9,46.2,1.2,3.1,36.9,2.6,3.2,79.8,1.9,8.8,10.8,7.6,3.5,3.1,0.5,4.0,51.9,6,0,-5.3,2020
116,Delon Wright,DAL,28,73,42,31,47.4,15.2,5.7,12.4,46.2,1.4,3.8,37.0,2.3,3.0,77.0,2.1,6.3,8.5,7.4,2.2,2.6,0.7,2.8,43.9,1,0,1.1,2020
117,Dennis Schroder,OKC,26,65,40,25,47.3,29.1,10.7,22.8,46.9,3.0,7.7,38.5,4.7,5.6,83.9,0.4,5.1,5.6,6.2,3.9,1.1,0.3,3.5,45.4,0,0,5.5,2020
118,Dennis Smith Jr.,NYK,22,34,7,27,47.5,16.5,6.4,18.6,34.1,1.4,4.8,29.6,2.4,4.7,50.9,1.9,5.0,6.9,8.7,5.1,2.5,0.7,5.7,42.2,0,0,-17.2,2020
119,Denzel Valentine,CHI,26,36,12,24,47.5,24.0,9.4,23.1,40.9,4.5,13.3,33.6,0.6,0.8,75.0,0.9,6.3,7.2,4.2,2.5,2.5,0.6,5.0,45.7,0,0,-4.0,2020
